GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,neu.edu.cs5010.dataProcess,HourDataProducer,11,69,1,3,5,16,1,3,0,2
Assignment for class CS5010,neu.edu.cs5010.dataProcess,LiftDataProducer,11,50,1,3,5,14,1,3,0,2
Assignment for class CS5010,neu.edu.cs5010.dataProcess,SkierLiftMap,46,119,12,4,7,19,9,7,3,5
Assignment for class CS5010,neu.edu.cs5010.dataProcess,SkierDataProducer,11,76,1,3,5,18,1,3,0,2
Assignment for class CS5010,neu.edu.cs5010.dataProcess,HourDataConsumer,3,68,0,2,2,14,0,3,0,2
Assignment for class CS5010,neu.edu.cs5010.dataProcess,Lift,43,98,12,10,7,31,8,14,2,9
Assignment for class CS5010,neu.edu.cs5010.dataProcess,CsvInfo,0,51,0,8,0,12,0,9,0,5
Assignment for class CS5010,neu.edu.cs5010.dataProcess,SkiDataProcessor,152,371,8,12,42,85,8,17,3,12
Assignment for class CS5010,neu.edu.cs5010.dataProcess,Skier,123,65,24,0,21,24,16,12,4,12
Assignment for class CS5010,neu.edu.cs5010.dataProcess,SkierDataConsumer,3,122,0,8,2,26,0,7,0,3
Assignment for class CS5010,neu.edu.cs5010.dataProcess,LiftDataConsumer,3,41,0,2,2,12,0,3,0,2
Assignment for class CS5010,neu.edu.cs5010.dataProcess,Hour,0,21,0,0,0,8,0,4,0,4
Assignment for class CS5010,neu.edu.cs5010.database,SkierDataBase,26,156,4,8,10,37,4,7,0,5
Assignment for class CS5010,neu.edu.cs5010.database,LiftDataBase,22,43,3,1,10,12,3,2,1,2
Assignment for class CS5010,neu.edu.cs5010.database,HourDataBase,14,83,2,4,6,22,2,4,0,3
Assignment for class CS5010,neu.edu.cs5010,QueryProcessor,25,206,3,11,7,37,4,9,1,5
Assignment for class CS5010,neu.edu.cs5010,WorkingThread,34,330,0,14,4,73,0,16,0,9
Assignment for class CS5010,neu.edu.cs5010.IO,Reader,27,39,5,3,4,12,3,3,0,2
Assignment for class CS5010,neu.edu.cs5010.IO,Writer,158,28,30,2,42,11,19,1,3,1
Assignment for class CS5010,neu.edu.cs5010.ReadWriteLock,ReadWriteLock,0,24,0,0,0,7,0,3,0,3
